image_filename,kl_manual,logit_yes_manual,logit_no_manual,kl_csv,correct
1281_right.jpg,23.25176392,23.125,11.9375,22.58473398,1
1294_left.jpg,27.39932198,23.625,12.25,22.79570577,1
1294_right.jpg,27.15404756,23,13.0625,22.55185749,1
1307_left.jpg,26.90610527,24.75,13.1875,22.30245164,1
1307_right.jpg,27.53357856,17,17,22.98511925,1
1334_left.jpg,26.96631798,23.375,12.9375,22.36238899,1
1334_right.jpg,27.41594996,22.5,12.625,22.89975544,1
1362_left.jpg,27.60939559,19.75,18.875,23.00452885,1
1362_right.jpg,27.20135982,13.625,20,22.59619062,0
1365_left.jpg,27.62399127,22.5,13.125,23.02018392,1
1371_right.jpg,27.31393838,23.5,12.0625,22.70887646,1
1388_left.jpg,27.51963376,25,14.875,22.91446359,1
1388_right.jpg,27.38786035,22,12.25,22.89346844,1
1393_left.jpg,27.61738284,23.375,14.5625,23.01460341,0
1393_right.jpg,27.47031066,22.625,12.625,22.86514071,1
1401_right.jpg,27.14675797,22.875,12.25,22.54207593,1
1414_left.jpg,27.27843062,23.625,12,22.67336041,1
1414_right.jpg,27.52933252,23.5,12.5,22.92505246,0
1428_right.jpg,27.57017273,20.375,16.125,22.99998414,1
1434_left.jpg,27.58036912,21,15.0625,22.98980891,1
1434_right.jpg,27.62223542,23,12.75,23.01747963,1
1439_left.jpg,27.54944155,16,20.25,22.94431756,0
1439_right.jpg,26.76171333,11.9375,20.75,22.15655174,1
1440_left.jpg,27.1852112,23.375,12.5,22.58037101,1
1440_right.jpg,27.50202755,22.875,13.125,22.94936189,1
1465_right.jpg,26.83802636,11.1875,19,22.23286531,0
1469_left.jpg,27.5831949,25.25,12.8125,22.97802474,0
1469_right.jpg,27.61155141,21.375,14.125,23.01275041,1
1473_left.jpg,27.52982557,23.625,12.75,22.92483647,1
1473_right.jpg,27.57424407,23,14,22.96988232,1
1475_left.jpg,27.62881736,16.875,19.75,23.02364721,0
1477_left.jpg,27.61575293,22.125,14.75,23.01597958,1
1477_right.jpg,26.95845576,24,11.75,22.62791533,1
1482_left.jpg,26.96396513,23.625,11.75,22.36121383,1
1482_right.jpg,27.61009127,14.6875,19.375,23.01814446,0
1485_right.jpg,27.36485494,22.75,11.875,22.76936903,1
1487_left.jpg,26.81284623,24,12.875,22.20771648,1
1487_right.jpg,27.5522381,19.25,15.8125,22.95098333,1
1491_left.jpg,26.07000936,13.9375,22.125,21.46591559,0
1491_right.jpg,26.65987237,12.375,20.125,22.4588997,1
1493_left.jpg,27.51025916,14.75,20.25,22.90512689,0
1493_right.jpg,26.69050248,12.5625,19,22.08534498,1
1494_left.jpg,26.79243502,13.3125,20.625,22.18736965,1
1494_right.jpg,26.74230452,11.5625,20.375,22.1382586,1
1496_left.jpg,27.14381202,13.5625,22.75,22.53864185,1
1496_right.jpg,27.62895473,24.125,16,23.02378652,1
1510_right.jpg,27.13997316,13.25,21.25,22.53480355,0
167_left.jpg,27.62824086,21.875,14.375,23.02318981,1
167_right.jpg,27.6187555,22.625,13.1875,23.01373214,1
1959_right.jpg,26.92198327,23.5,12.625,22.33533808,1
1975_left.jpg,27.52199358,24.25,13.125,22.91713661,1
1975_right.jpg,27.41135152,15.6875,19,22.80620042,1
2370_right.jpg,26.35755985,12.1875,20.875,21.75423798,1
2400_left.jpg,27.58949121,14.5625,19.25,22.98433176,1
2410_left.jpg,25.97960225,13.375,22.375,21.40990644,1
2423_left.jpg,26.87840988,12.5,22.5,22.27730208,1
2423_right.jpg,26.38228121,13.6875,22.375,22.37259981,1
2427_left.jpg,26.48731815,12.125,22.5,21.88216553,1
2427_right.jpg,26.4366208,12.5625,21.125,21.83147374,1
2470_left.jpg,27.60043781,23.125,12.6875,22.99541074,0
2470_right.jpg,27.47679361,22.125,12,22.87347275,0
2472_left.jpg,26.56527355,13,21.625,21.96016614,1
2472_right.jpg,26.68520501,13.5625,20.125,22.23978608,1
2554_left.jpg,26.27557664,13.4375,22,21.67062436,1
2604_right.jpg,26.65130321,11.8125,21.25,22.0461439,1
2646_left.jpg,27.53728012,22.75,12.8125,22.93212803,0
2646_right.jpg,27.61817731,22.25,14.0625,23.01508685,0
2738_left.jpg,27.6225927,14.0625,22.25,23.01742623,1
2738_right.jpg,27.622628,15.25,23.125,23.01757126,1
2759_left.jpg,27.57815939,18.375,21.75,22.97305658,1
2759_right.jpg,27.55240567,15.0625,23.5,22.94773509,1
2775_left.jpg,26.23199038,12.125,21.75,21.6268464,1
2775_right.jpg,27.52558852,15.375,20.625,22.93091771,1
2811_left.jpg,27.02464287,10.875,20.625,22.41947733,1
2811_right.jpg,26.88155453,10.9375,19.75,22.27639198,1
2840_left.jpg,27.62371786,21.75,15.8125,23.0191157,0
2840_right.jpg,27.627654,20.25,16.125,23.02249513,0
2927_left.jpg,27.48630146,12.25,19.25,22.88116685,1
3031_left.jpg,26.69739297,13.125,23,22.09223381,1
3031_right.jpg,27.07780422,12.9375,21.625,22.47264123,1
3045_left.jpg,26.53575642,11.5,21.75,21.9305885,1
3045_right.jpg,26.98739449,10.875,20.625,22.38222752,1
3066_left.jpg,27.43346396,15.125,19.875,22.82833408,1
3066_right.jpg,27.32504408,15.625,19.875,22.72138462,1
3086_left.jpg,27.28653198,12,22,22.69088101,1
3086_right.jpg,27.46990389,13.25,21.625,22.86473413,1
3098_left.jpg,27.61806873,22.875,14.8125,23.01417794,0
3098_right.jpg,27.51599921,23,14,22.94505864,0
3102_left.jpg,27.49178485,23.375,13.0625,22.88661809,0
3102_right.jpg,27.53660245,15,19.5,22.93153896,1
3138_right.jpg,26.96022574,11.375,20.5,22.35556265,1
3231_left.jpg,27.60354804,23.875,12.5,23.00068395,0
3231_right.jpg,27.5975279,17,17.875,22.99340357,1
3233_left.jpg,27.30298683,12.625,22,22.69782465,1
3233_right.jpg,27.24332946,12.6875,21.375,22.6381638,1
3352_right.jpg,26.66015734,13.0625,22,22.44433023,1
3354_left.jpg,27.29296395,12.875,22.625,22.68779906,1
3354_right.jpg,25.22201655,12,20.5,21.74178508,1
,,,,,
,27.17230886,,,22.63260069,
,,,,,
,,,,,
,,,,,
,,4.539708172,,,
